sampleNumber,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
39,0.194108,0.302185,0.682553,0.138175,0.052149,-0.989034,-0.477201,0.102308,-0.872819,0.263897,0.506082,0.970400,0.787829,1.539774,0.364558,0.973454,0.608241,0.384314,0.588235,0.776471
40,0.297553,0.807336,0.646321,0.414739,-0.323718,-0.850411,-0.005541,0.361150,-0.932491,0.154099,0.288536,0.929090,0.557863,0.004037,0.769493,0.566132,0.205210,0.156863,0.384314,0.262745
41,0.188757,0.188833,0.194785,0.600780,0.026111,-0.798988,-0.052620,-0.398632,-0.915600,23.148080,0.346036,0.671961,0.756525,1.754277,0.278310,0.523577,0.815290,0.431373,0.556863,0.603922
42,0.556700,0.435622,0.437125,-0.561459,0.626024,-0.541163,0.671214,0.057283,-0.739047,231.583800,0.541977,0.243212,0.225315,1.010723,0.118821,0.107035,0.354731,0.745098,0.486275,0.549020
43,0.654234,0.276621,0.084527,-0.023019,0.227222,-0.973571,-0.588942,0.301494,-0.749833,0.965601,0.210819,0.422112,0.770413,2.440306,0.090380,0.555082,0.619879,0.556863,0.552941,0.352941
44,0.961552,0.467656,0.183629,-0.757313,-0.409010,-0.509104,-0.147994,-0.186360,-0.971271,0.026758,0.021598,0.609588,0.478233,0.564470,0.000011,0.313583,0.911340,0.137255,0.443137,0.372549
45,0.805719,0.039539,0.073011,0.058520,0.001708,-0.998285,0.137024,0.155594,-0.978272,1.265723,0.258656,0.521821,0.256257,0.108785,0.005842,0.645199,0.632027,0.352941,0.160784,0.164706
46,0.012305,0.506860,0.555588,-0.306569,-0.411194,-0.858449,-0.038443,0.000531,-0.999261,5.402657,0.308433,0.886310,0.482343,0.984843,0.792769,0.248449,0.137709,0.180392,0.737255,0.588235
47,0.636837,0.645781,0.462580,-0.251558,0.347575,-0.903277,-0.037284,0.599218,-0.799717,2.792238,0.490565,0.210257,0.705113,1.432144,0.112967,0.633359,0.919995,0.596079,0.752941,0.729412
48,0.940392,0.311067,0.170154,0.174123,-0.715894,-0.676149,-0.419587,0.125598,-0.898984,14.851480,0.002235,0.648105,0.273011,0.215997,0.305367,0.207876,0.853009,0.501961,0.521569,0.313726
49,0.635106,0.244091,0.587082,0.062423,-0.135064,-0.988869,-0.389470,0.395757,-0.831679,3.006629,0.297490,0.270719,0.648025,0.289039,0.974106,0.279881,0.960937,0.596079,0.294118,0.639216
50,0.975115,0.119608,0.183476,-0.199129,-0.467685,-0.861173,0.058884,0.259344,-0.963988,10.583420,0.381074,0.563303,0.660717,0.207011,0.012058,0.446719,0.289953,0.713726,0.329412,0.419608
51,0.527515,0.583684,0.091863,-0.274290,-0.222232,-0.935616,-0.144365,-0.014585,-0.989417,0.132621,0.168495,0.847127,0.503625,0.236083,0.840988,0.243103,0.177804,0.478431,0.415686,0.160784
52,0.044637,0.073223,0.754923,-0.443187,0.628787,-0.638915,0.046339,-0.014012,-0.998828,4.655837,0.511241,0.865303,0.573526,0.044089,0.491044,0.440263,0.226146,0.176471,0.270588,0.615686
53,0.021256,0.051015,0.789221,-0.589865,0.547068,-0.593950,0.196829,-0.324248,-0.925269,21.339650,0.798583,0.149288,0.535542,0.139092,0.368595,0.484482,0.421428,0.215686,0.168628,0.721569
54,0.242406,0.932868,0.000288,0.434487,-0.203077,-0.877486,-0.376251,0.448420,-0.810774,3.002842,0.401558,0.915985,0.011593,0.753135,0.136264,0.795183,0.274690,0.313726,0.913726,0.145098
55,0.834381,0.976540,0.610743,0.323317,-0.270763,-0.906727,-0.057105,-0.522371,-0.850804,0.429697,0.926251,0.394387,0.291830,0.321695,0.900874,0.058303,0.254940,0.709804,0.439216,0.427451
56,0.406963,0.487703,0.311385,-0.134015,0.388107,-0.911818,-0.172079,-0.125890,-0.977006,13.124700,0.575149,0.566162,0.435857,0.233035,0.904751,0.181285,0.135149,0.647059,0.678431,0.478431
57,0.671151,0.473805,0.505244,0.471162,-0.435550,-0.767009,0.038939,-0.003593,-0.999235,1.879454,0.251665,0.060352,0.657405,0.857247,0.785710,0.675410,0.814797,0.721569,0.584314,0.658824
58,0.719106,0.127916,0.525827,-0.776124,-0.355800,-0.520614,0.751273,-0.300565,-0.587580,Infinity,0.946580,0.013225,0.279156,0.362295,0.588356,0.480574,0.099727,0.690196,0.556863,0.627451
59,0.472145,0.084979,0.624555,-0.644873,0.009134,-0.764236,0.205080,-0.239927,-0.948882,3.533303,0.788577,0.544368,0.804987,5.765303,0.110299,0.181156,0.176926,0.658824,0.337255,0.811765
60,0.603292,0.864694,0.180846,-0.003975,-0.004075,-0.999984,-0.106430,-0.339296,-0.934639,2.105981,0.013884,0.209145,0.445691,0.200247,0.287991,0.141981,0.493849,0.384314,0.450980,0.286275
61,0.955399,0.678973,0.179168,0.125707,-0.471798,-0.872699,-0.154320,-0.195487,-0.968489,1.135427,0.222455,0.294056,0.824799,0.024021,0.328835,0.371577,0.619976,0.388235,0.352941,0.290196
62,0.011189,0.131031,0.614690,0.330551,0.122829,-0.935761,-0.471827,-0.618072,-0.628781,0.434168,0.546893,0.811638,0.977583,0.379193,0.965111,0.582074,0.658423,0.156863,0.266667,0.568628
63,0.320838,0.290420,0.185896,-0.072559,0.749522,-0.657991,-0.124960,-0.477562,-0.869666,87.005150,0.560637,0.611319,0.115030,0.421899,0.904867,0.064208,0.545220,0.647059,0.615686,0.325490
64,0.779963,0.294063,0.417375,-0.308079,0.415741,-0.855714,0.268945,0.088023,-0.959125,3.188483,0.781311,0.266103,0.465432,1.064443,0.078220,0.950268,0.956568,0.733333,0.533333,0.639216
65,0.619624,0.299573,0.407622,0.484490,0.675623,-0.555701,0.001999,-0.001127,-0.999997,0.910723,0.706423,0.388398,0.704351,0.177603,0.752089,0.670273,0.213789,0.525490,0.333333,0.368628
66,0.517470,0.096825,0.686223,-0.000381,-0.008502,-0.999964,-0.338757,-0.402072,-0.850636,5.208352,0.195134,0.131994,0.878765,0.642750,0.124412,0.981788,0.673572,0.427451,0.294118,0.854902
67,0.972367,0.732464,0.603911,0.190454,0.235525,-0.953024,0.091270,0.097711,-0.991021,1.474756,0.088732,0.039281,0.963651,0.274048,0.353487,0.440629,0.234463,0.556863,0.505882,0.627451
68,0.854929,0.865624,0.730405,0.077352,0.027980,-0.996611,0.469629,-0.240171,-0.849569,2.685740,0.537857,0.333284,0.785683,1.009382,0.476326,0.050216,0.635580,0.807843,0.549020,0.831373
69,0.893500,0.424276,0.214784,-0.533480,-0.099596,-0.839929,0.383640,-0.127792,-0.914598,3.967500,0.775840,0.249951,0.203497,0.242116,0.890121,0.398599,0.060462,0.811765,0.392157,0.211765
70,0.057317,0.662743,0.506349,0.033188,0.506863,-0.861388,-0.162152,-0.399044,-0.902480,9.900158,0.468370,0.443726,0.136190,0.053789,0.977032,0.046830,0.544127,0.215686,0.592157,0.352941
71,0.431418,0.936137,0.062774,0.060552,-0.079211,-0.995017,-0.279120,-0.452167,-0.847135,0.614878,0.743803,0.928383,0.418682,0.270007,0.701145,0.713143,0.301991,0.466667,0.725490,0.168628
72,0.025197,0.344948,0.067252,0.706779,0.330597,-0.625435,-0.336517,0.113248,-0.934843,9.248053,0.725306,0.837286,0.048603,2.499361,0.038625,0.246154,0.929303,0.200000,0.607843,0.368628
73,0.918125,0.759429,0.157391,-0.264703,-0.419852,-0.868134,0.504387,-0.501644,-0.702814,0.379250,0.149016,0.069733,0.665096,0.003400,0.361176,0.012894,0.575243,0.227451,0.152941,0.172549
74,0.557512,0.509309,0.489798,-0.677588,0.087446,-0.730224,0.521814,-0.027268,-0.852624,96.065130,0.306736,0.389076,0.310543,1.687341,0.566588,0.146469,0.638905,0.788235,0.721569,0.752941
75,0.254645,0.306603,0.048311,0.749290,0.105733,-0.653747,-0.251200,0.773062,-0.582473,5.434244,0.288849,0.087473,0.572571,0.048642,0.899946,0.386556,0.465749,0.262745,0.207843,0.168628
76,0.625606,0.231015,0.578318,-0.804367,-0.270215,-0.529129,0.041848,0.480629,-0.875925,7.212839,0.353677,0.949766,0.994477,2.446412,0.289105,0.183301,0.380459,0.717647,0.482353,0.803922
77,0.804571,0.340135,0.801272,0.440680,0.452527,-0.775255,-0.031336,0.010725,-0.999451,0.258444,0.878145,0.247291,0.156378,2.193544,0.256350,0.491399,0.055555,0.764706,0.568628,0.529412
78,0.328317,0.754236,0.479292,0.037176,-0.038164,-0.998580,-0.803990,-0.319435,-0.501559,0.998140,0.465307,0.333120,0.047770,1.296016,0.221844,0.250640,0.164547,0.423529,0.650980,0.466667
79,0.234814,0.749287,0.735074,-0.219971,0.294208,-0.930083,-0.169571,0.654251,-0.737022,7.914181,0.498838,0.738738,0.190664,0.087371,0.992038,0.724889,0.520578,0.415686,0.866667,0.501961
80,0.559803,0.363549,0.279361,-0.479899,0.278298,-0.832014,-0.270458,-0.275804,-0.922380,59.585650,0.182504,0.002760,0.102213,3.550190,0.330678,0.214181,0.183863,0.792157,0.545098,0.486275
81,0.495052,0.699516,0.707434,0.188208,0.485806,-0.853563,-0.461730,-0.687030,-0.561067,45.816560,0.221779,0.299898,0.116190,0.554579,0.890496,0.439724,0.970415,0.580392,0.607843,0.698039
82,0.100985,0.738995,0.990741,0.561618,0.387272,-0.731167,0.089504,0.740526,-0.666041,0.292422,0.032455,0.061399,0.896242,0.637185,0.225756,0.322129,0.475678,0.207843,0.572549,0.752941
83,0.574204,0.055595,0.852402,-0.055971,-0.144788,-0.987878,-0.426399,-0.055027,-0.902860,0.028507,0.239171,0.357785,0.663012,0.000791,0.693697,0.195421,0.134417,0.149020,0.137255,0.223529
84,0.896051,0.473883,0.055633,-0.298017,0.042636,-0.953608,0.139829,-0.546603,-0.825635,5.019957,0.433368,0.889659,0.111600,0.810158,0.304810,0.576401,0.460730,0.745098,0.705882,0.207843
85,0.775730,0.584656,0.957116,-0.118247,0.019367,-0.992795,0.366161,-0.513211,-0.776235,0.981945,0.413538,0.966652,0.259154,0.416467,0.174022,0.383676,0.292859,0.505882,0.580392,0.596079
86,0.381949,0.452767,0.606497,-0.090677,0.594290,-0.799123,0.804196,0.059788,-0.591349,54.030010,0.142392,0.407529,0.363762,0.170839,0.384224,0.847387,0.239569,0.411765,0.670588,0.721569
87,0.457463,0.686159,0.823767,0.432369,-0.099409,-0.896200,0.034550,0.262658,-0.964270,11.698360,0.120572,0.443884,0.083028,0.320264,0.987369,0.753854,0.077652,0.513726,0.745098,0.435294
88,0.659102,0.059781,0.660595,-0.062707,0.089645,-0.993998,-0.096448,-0.650490,-0.753366,5.096598,0.773237,0.177931,0.668569,0.171588,0.776109,0.925247,0.799334,0.729412,0.188235,0.686275
89,0.194363,0.120609,0.990777,0.700606,-0.483829,-0.524463,0.715899,-0.238075,-0.656361,3.164679,0.341403,0.217472,0.744924,0.508945,0.275604,0.749233,0.239050,0.313726,0.301961,0.858824
90,0.354083,0.816932,0.433977,0.469224,0.515878,-0.716728,0.024697,-0.125402,-0.991799,2.793412,0.911534,0.749303,0.740905,0.041577,0.582228,0.116861,0.244171,0.486275,0.662745,0.482353
91,0.760778,0.092096,0.417667,-0.525710,-0.151582,-0.837050,0.179692,0.008423,-0.983687,2.527701,0.621480,0.650247,0.989796,0.195737,0.247669,0.084666,0.346798,0.611765,0.223529,0.556863
92,0.543983,0.069975,0.450134,0.032244,-0.657076,-0.753134,0.037196,0.175382,-0.983798,1.415433,0.185112,0.440650,0.989994,0.547715,0.692558,0.799767,0.265592,0.568628,0.254902,0.529412
93,0.457901,0.303674,0.162605,-0.557023,0.003541,-0.830490,0.683439,-0.154318,-0.713510,25.814120,0.201481,0.636151,0.720561,0.973174,0.138173,0.982773,0.060644,0.443137,0.592157,0.388235
94,0.140771,0.211277,0.086814,-0.000840,-0.615921,-0.787808,-0.638819,-0.360304,-0.679773,6.077512,0.930938,0.868062,0.800426,0.900795,0.557431,0.802493,0.382821,0.435294,0.517647,0.329412
95,0.868138,0.665456,0.903064,-0.004210,0.035657,-0.999355,0.789529,0.247811,-0.561456,5.218669,0.664022,0.457320,0.114330,5.386796,0.032426,0.058563,0.111320,0.780392,0.658824,0.811765
96,0.178518,0.819307,0.801536,-0.362399,-0.505748,-0.782870,0.186999,-0.204519,-0.960835,2.041203,0.795296,0.236245,0.170945,0.018576,0.194115,0.135984,0.618074,0.317647,0.372549,0.360784
97,0.428992,0.047261,0.343850,-0.708997,-0.466350,-0.529000,0.025172,-0.038170,-0.998954,4.436918,0.561124,0.010236,0.133608,1.080515,0.044931,0.894614,0.084879,0.458824,0.298039,0.333333
98,0.692741,0.526565,0.937347,-0.103537,0.526842,-0.843634,-0.275990,-0.251228,-0.927747,0.817397,0.905905,0.470813,0.841194,0.893668,0.843404,0.830899,0.093188,0.772549,0.654902,0.647059
99,0.366824,0.909589,0.952601,0.114542,0.124172,-0.985628,-0.091577,0.393813,-0.914618,22.576880,0.319564,0.141964,0.172149,0.830575,0.194623,0.273922,0.518132,0.537255,0.717647,0.827451
100,0.688982,0.414486,0.312080,-0.062396,0.005096,-0.998038,-0.202674,-0.495579,-0.844586,0.568451,0.862360,0.877711,0.955869,0.042876,0.686133,0.483809,0.643067,0.505882,0.388235,0.356863
101,0.208008,0.219821,0.844914,-0.217504,-0.240739,-0.945905,-0.103106,-0.222485,-0.969469,22.607120,0.368865,0.316253,0.324163,0.106828,0.629016,0.885590,0.598974,0.435294,0.419608,0.803922
102,0.727042,0.105411,0.138467,0.032040,0.659423,-0.751089,-0.384296,0.074498,-0.920199,94.456540,0.037967,0.224679,0.102700,0.100760,0.667897,0.798900,0.743747,0.513726,0.337255,0.282353
103,0.080697,0.526202,0.890894,-0.651373,0.052915,-0.756911,0.297918,0.279899,-0.912635,5.048637,0.055910,0.960012,0.645037,0.332199,0.195034,0.310388,0.592170,0.168628,0.670588,0.764706
104,0.170521,0.671286,0.103422,-0.598480,-0.190897,-0.778062,0.174615,0.454499,-0.873465,5.570567,0.170444,0.328426,0.152700,0.987041,0.579507,0.161694,0.068784,0.364706,0.568628,0.184314
105,0.873551,0.383148,0.191348,0.433223,0.267423,-0.860699,0.184757,-0.247725,-0.951051,8.394135,0.076559,0.136416,0.603101,0.560282,0.664296,0.061428,0.761637,0.721569,0.321569,0.447059
106,0.965022,0.328676,0.469864,0.076585,-0.601737,-0.795014,-0.076250,-0.772246,-0.630732,0.069721,0.714063,0.330379,0.402858,0.588935,0.385187,0.399817,0.993172,0.678431,0.396079,0.580392
107,0.232615,0.268691,0.046962,-0.013400,-0.055675,-0.998359,0.435574,0.157981,-0.886181,8.129096,0.071461,0.370810,0.688830,0.290632,0.982768,0.839764,0.344581,0.352941,0.427451,0.266667
108,0.273560,0.194074,0.758082,-0.063860,0.372035,-0.926019,-0.093674,0.254883,-0.962424,0.063967,0.348524,0.927470,0.072176,1.963370,0.568509,0.172235,0.735909,0.525490,0.341177,0.898039
109,0.206352,0.106021,0.331848,-0.464905,0.378093,-0.800568,-0.432641,0.423203,-0.796066,2.741465,0.746656,0.748376,0.056854,10.767790,0.146956,0.076202,0.226623,0.525490,0.356863,0.674510
110,0.886921,0.554556,0.268633,-0.335744,-0.585113,-0.738186,0.465069,0.559114,-0.686369,173.283700,0.169180,0.616472,0.857472,0.648028,0.538054,0.146489,0.335248,0.729412,0.639216,0.537255
111,0.649067,0.834618,0.941317,-0.273509,0.097255,-0.956940,-0.554537,-0.537703,-0.635109,0.681452,0.160726,0.397113,0.191184,0.187935,0.719523,0.328403,0.062632,0.490196,0.494118,0.360784
112,0.750628,0.688608,0.096604,-0.113490,0.603664,-0.789120,-0.697038,-0.482806,-0.530129,1.556674,0.111120,0.988405,0.240636,0.646698,0.507735,0.223566,0.115974,0.643137,0.572549,0.176471
113,0.379992,0.667896,0.943704,0.463387,-0.575747,-0.673638,-0.324896,0.243971,-0.913740,17.194190,0.469132,0.408180,0.645073,0.303815,0.597682,0.555821,0.182892,0.509804,0.639216,0.854902
114,0.991490,0.396569,0.261337,-0.352909,0.291586,-0.889063,-0.238598,0.067987,-0.968736,0.275795,0.631013,0.784595,0.676747,0.075573,0.760529,0.104965,0.242110,0.549020,0.309804,0.243137
115,0.894828,0.610454,0.418467,0.153550,0.580483,-0.799664,-0.036034,-0.520267,-0.853243,2.762371,0.730051,0.885058,0.850509,0.202801,0.176994,0.168970,0.683545,0.627451,0.556863,0.490196
116,0.003857,0.164407,0.304055,0.039593,0.023230,-0.998946,0.111072,0.249129,-0.962080,8.175655,0.351362,0.860643,0.325853,1.775826,0.456851,0.005645,0.931655,0.156863,0.466667,0.615686
117,0.332411,0.567232,0.999876,0.691922,-0.326885,-0.643732,0.094787,-0.729915,-0.676935,1.023549,0.317799,0.961036,0.119378,0.664491,0.841978,0.852239,0.658622,0.494118,0.682353,0.796079
118,0.591134,0.222387,0.864352,-0.353148,-0.422299,-0.834835,0.180283,-0.096004,-0.978918,2.338998,0.978898,0.031266,0.975604,1.005018,0.334753,0.785855,0.723203,0.721569,0.439216,0.937255
119,0.122298,0.966389,0.081033,-0.728170,-0.159370,-0.666611,0.280633,0.338591,-0.898110,7.589861,0.194011,0.013744,0.983554,0.005439,0.638190,0.298286,0.235317,0.160784,0.227451,0.286275
120,0.573297,0.730318,0.615583,-0.420710,-0.257401,-0.869913,-0.005857,0.216469,-0.976272,4.272113,0.168280,0.144666,0.795109,0.721712,0.996935,0.146003,0.994973,0.678431,0.509804,0.803922
121,0.066602,0.506012,0.008194,-0.613687,0.280946,-0.737874,-0.667712,-0.532856,-0.519832,12.885290,0.535985,0.647347,0.602619,0.591667,0.773300,0.414770,0.807618,0.301961,0.713726,0.196078
122,0.591706,0.409606,0.556629,-0.179284,-0.209600,-0.961210,-0.564102,-0.076313,-0.822171,1.619092,0.621377,0.180448,0.754190,0.012990,0.890222,0.682662,0.114908,0.490196,0.247059,0.521569
123,0.150841,0.977860,0.507964,0.440282,-0.348074,-0.827646,0.170003,-0.382783,-0.908062,0.217473,0.004347,0.222065,0.948971,0.111298,0.995460,0.276328,0.867902,0.223529,0.435294,0.439216
124,0.209263,0.916778,0.996310,-0.611185,0.142954,-0.778471,-0.256374,0.826568,-0.501057,0.034250,0.229767,0.856751,0.238305,0.013020,0.496741,0.948151,0.664926,0.152941,0.360784,0.321569
125,0.763775,0.254859,0.243225,-0.182101,-0.598534,-0.780126,0.224755,-0.564372,-0.794336,3.354950,0.557231,0.485801,0.360857,1.949838,0.653815,0.645700,0.592630,0.913726,0.533333,0.501961
126,0.832345,0.133000,0.836382,0.376065,-0.641525,-0.668596,0.138678,-0.047921,-0.989177,2.727150,0.531424,0.161003,0.121215,0.014676,0.143466,0.635882,0.987183,0.576471,0.160784,0.368628
127,0.578591,0.562947,0.803468,-0.675434,-0.402778,-0.617704,0.857307,-0.090933,-0.506711,Infinity,0.909945,0.908820,0.796868,0.535325,0.402685,0.542497,0.582537,0.513726,0.541177,0.658824
128,0.863107,0.629642,0.992268,-0.020971,-0.169841,-0.985248,0.046287,0.532787,-0.844983,2.625338,0.422234,0.898193,0.726775,0.750936,0.395737,0.898228,0.276270,0.721569,0.784314,0.811765
129,0.788658,0.820780,0.194144,0.153187,0.000480,-0.988197,0.653989,-0.300881,-0.694096,4.316598,0.051154,0.482350,0.393550,0.523318,0.430750,0.253233,0.273778,0.607843,0.682353,0.325490
130,0.080636,0.476760,0.979658,0.146993,0.210924,-0.966387,0.207896,0.614372,-0.761135,0.250593,0.396615,0.098198,0.112488,0.001362,0.143139,0.720400,0.298271,0.137255,0.149020,0.188235
131,0.870391,0.416590,0.279941,-0.143355,-0.635752,-0.758465,0.075594,-0.676963,-0.732125,6.755646,0.132628,0.244298,0.647141,0.202782,0.894422,0.044966,0.260256,0.627451,0.368628,0.490196
