sampleNumber,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
41,0.354948,0.738210,0.132240,-0.246022,0.690076,-0.680638,-0.210540,0.166880,-0.963236,1.287374,0.642386,0.307856,0.314969,0.214460,0.640654,0.197671,0.584648,0.160784,0.184314,0.027451
42,0.375014,0.646161,0.958778,-0.590737,-0.591015,-0.549300,-0.177531,0.502917,-0.845906,10.511940,0.570876,0.644130,0.114683,0.130577,0.590478,0.786828,0.946780,0.196078,0.407843,0.352941
43,0.668571,0.870742,0.554157,-0.391325,-0.209713,-0.896039,0.326706,-0.030078,-0.944647,2.366211,0.710366,0.506361,0.363963,0.390321,0.907105,0.879642,0.980101,0.490196,0.564706,0.345098
44,0.851498,0.921115,0.483804,-0.179403,0.082855,-0.980280,-0.047301,0.046312,-0.997807,2.129608,0.587318,0.182678,0.800134,0.247939,0.281144,0.264651,0.895744,0.431373,0.266667,0.352941
45,0.482646,0.479408,0.449022,-0.580231,-0.476324,-0.660641,-0.031378,-0.026033,-0.999169,1.494202,0.672064,0.569032,0.743141,0.257064,0.096884,0.021229,0.950221,0.180392,0.133333,0.266667
46,0.876996,0.054740,0.734075,-0.164133,-0.133858,-0.977314,0.105593,0.005136,-0.994396,1.197995,0.111374,0.160224,0.894301,0.448864,0.812215,0.864847,0.513136,0.509804,0.023529,0.498039
47,0.369806,0.123861,0.856759,0.030473,-0.120731,-0.992218,-0.536640,-0.636564,-0.553899,0.802826,0.314240,0.557703,0.784971,0.284481,0.080544,0.850171,0.982861,0.043137,0.043137,0.501961
48,0.412955,0.489452,0.729103,0.604204,0.311887,-0.733256,0.659223,0.441167,-0.608930,0.742421,0.463999,0.977202,0.984561,0.445189,0.988660,0.693850,0.474861,0.266667,0.329412,0.454902
49,0.955640,0.688546,0.312764,-0.410595,-0.286258,-0.865718,0.139509,0.577474,-0.804401,1.073951,0.774998,0.785079,0.757137,0.075591,0.490007,0.651820,0.732178,0.341177,0.250980,0.098039
50,0.864639,0.668499,0.129548,0.065716,-0.020800,-0.997622,-0.038962,-0.688068,-0.724600,1.109462,0.671438,0.094377,0.077699,0.559397,0.004181,0.047621,0.248741,0.278431,0.098039,0.023529
51,0.082463,0.200055,0.415539,0.039328,-0.121154,-0.991854,0.106201,-0.066526,-0.992117,0.270447,0.989853,0.181114,0.749142,0.047134,0.311334,0.656830,0.223003,0.007843,0.011765,0.074510
52,0.023935,0.286855,0.026017,-0.655531,-0.552061,-0.515274,-0.438403,0.680592,-0.587024,10.616440,0.581441,0.829426,0.914863,0.011363,0.498292,0.208921,0.893257,0.007843,0.180392,0.015686
53,0.034591,0.097754,0.602784,-0.339199,0.217453,-0.915237,-0.486916,0.263239,-0.832838,2.739143,0.020311,0.296466,0.706807,0.522697,0.217773,0.641492,0.001294,0.007843,0.039216,0.356863
54,0.140149,0.341856,0.007131,-0.488058,-0.187920,-0.852342,-0.136675,-0.053544,-0.989168,10.623550,0.072333,0.638984,0.629670,0.817874,0.609832,0.536985,0.136104,0.082353,0.388235,0.007843
55,0.131127,0.337372,0.124524,0.173246,0.540263,-0.823469,-0.521140,0.445273,-0.728110,2.966234,0.939301,0.177743,0.958823,0.154219,0.127467,0.861462,0.587491,0.090196,0.109804,0.090196
56,0.606545,0.006923,0.986527,-0.166029,-0.333421,-0.928044,0.122989,-0.226451,-0.966227,0.324004,0.849985,0.724818,0.024047,0.865430,0.408148,0.043098,0.443177,0.372549,0.003922,0.588235
57,0.219116,0.436683,0.117912,0.122607,0.560015,-0.819360,-0.107918,-0.051498,-0.992825,1.322070,0.204118,0.738218,0.717923,1.374761,0.396549,0.308568,0.079471,0.145098,0.309804,0.039216
58,0.948332,0.437286,0.483307,-0.167913,-0.228437,-0.958969,0.085734,0.010000,-0.996268,3.989120,0.229954,0.500760,0.260696,0.441442,0.105389,0.204925,0.634847,0.294118,0.235294,0.262745
59,0.493763,0.585274,0.886626,-0.500271,-0.026278,-0.865470,0.800328,0.093203,-0.592275,2.994907,0.785001,0.867750,0.756056,0.007167,0.592688,0.162126,0.772328,0.109804,0.149020,0.219608
60,0.576306,0.442313,0.158583,0.209368,-0.055597,-0.976255,-0.316246,0.241849,-0.917332,2.093060,0.510378,0.683360,0.888352,0.412128,0.673742,0.928483,0.907050,0.341177,0.317647,0.121569
61,0.182775,0.335607,0.984734,-0.370311,-0.520798,-0.769181,-0.311181,0.578114,-0.754288,24.562360,0.204021,0.363934,0.117579,0.343285,0.368515,0.546154,0.017643,0.070588,0.223529,0.211765
62,0.596135,0.371008,0.296392,-0.096658,0.513157,-0.852835,-0.036556,-0.124446,-0.991553,1.774916,0.377609,0.971883,0.542795,0.378543,0.515000,0.781011,0.946047,0.278431,0.286275,0.180392
63,0.964523,0.806088,0.130232,-0.120056,-0.082352,-0.989346,0.514286,-0.471062,-0.716666,0.407214,0.654457,0.170745,0.942254,0.284413,0.916259,0.471608,0.836669,0.509804,0.290196,0.050980
64,0.940021,0.259418,0.555164,0.784357,0.130227,-0.606486,0.028456,-0.327866,-0.944296,4.597301,0.847907,0.755976,0.656115,0.027405,0.807396,0.225300,0.371918,0.674510,0.149020,0.294118
65,0.648794,0.931654,0.077465,0.696369,0.083413,-0.712820,-0.518846,0.481889,-0.706103,5.231850,0.076183,0.913804,0.528999,0.330483,0.976634,0.685482,0.406539,0.352941,0.607843,0.019608
66,0.409323,0.963468,0.951455,0.085138,-0.062602,-0.994401,-0.120284,0.184695,-0.975408,0.085961,0.555245,0.951465,0.961324,1.160284,0.376683,0.328978,0.518814,0.250980,0.584314,0.705882
67,0.684233,0.781291,0.597657,-0.344970,0.068778,-0.936091,0.003086,-0.040919,-0.999158,3.796361,0.087329,0.394126,0.064832,0.030796,0.237522,0.398905,0.224052,0.070588,0.305882,0.047059
68,0.717437,0.456354,0.234654,-0.519930,-0.679725,-0.517345,0.847858,-0.080515,-0.524075,Infinity,0.559989,0.155473,0.920626,0.028011,0.142029,0.959825,0.478207,0.062745,0.278431,0.039216
69,0.364626,0.259069,0.734394,-0.616219,-0.143719,-0.774351,-0.130680,-0.157695,-0.978803,1.599383,0.029478,0.156624,0.653266,0.100117,0.445495,0.122958,0.975484,0.054902,0.015686,0.364706
70,0.948173,0.872370,0.368688,0.403368,0.218125,-0.888660,-0.388397,0.284186,-0.876576,6.774199,0.058868,0.498704,0.052643,0.133219,0.474939,0.136854,0.523404,0.250980,0.490196,0.078431
71,0.480123,0.199707,0.001994,-0.204907,0.037424,-0.978066,0.044729,-0.193021,-0.980175,0.037918,0.912654,0.255963,0.094582,0.003568,0.215984,0.306911,0.525092,0.023529,0.000000,0.000000
72,0.720511,0.050656,0.567703,-0.211037,0.089403,-0.973381,0.166298,0.144978,-0.975360,0.599848,0.545357,0.389795,0.675446,1.118256,0.312285,0.554198,0.598611,0.431373,0.031373,0.450980
73,0.487540,0.614223,0.959124,0.165326,0.651135,-0.740737,-0.018339,-0.481292,-0.876369,2.140500,0.755959,0.483827,0.418638,0.121758,0.019165,0.262236,0.939964,0.152941,0.156863,0.364706
74,0.106881,0.194018,0.300214,0.127163,-0.145115,-0.981209,-0.508839,-0.664270,-0.547566,6.822968,0.798215,0.353744,0.174814,0.237443,0.254366,0.430260,0.678001,0.082353,0.070588,0.105882
75,0.993142,0.134707,0.208350,-0.062489,-0.763949,-0.642244,0.562456,0.227588,-0.794889,2.830829,0.427195,0.334336,0.173811,0.109517,0.572789,0.413706,0.768626,0.321569,0.015686,0.039216
76,0.387663,0.505435,0.705617,0.806419,0.233278,-0.543387,-0.093953,0.032658,-0.995041,4.375897,0.216111,0.375916,0.485038,0.027240,0.621753,0.916251,0.969552,0.054902,0.145098,0.266667
77,0.526400,0.596252,0.283824,-0.260465,0.435735,-0.861564,-0.712858,0.045831,-0.699810,0.001660,0.458700,0.974652,0.975385,0.207205,0.921663,0.842245,0.127565,0.215686,0.235294,0.023529
78,0.779415,0.987509,0.843802,-0.285802,0.261903,-0.921805,-0.543326,0.389321,-0.743792,1.916826,0.559186,0.901470,0.248813,0.097286,0.411608,0.120584,0.576463,0.337255,0.647059,0.243137
79,0.789950,0.332138,0.272136,0.182085,-0.587389,-0.788555,-0.621665,-0.349095,-0.701189,25.028430,0.337089,0.220348,0.282835,0.263077,0.917061,0.672826,0.551908,0.623529,0.184314,0.164706
80,0.495197,0.306769,0.127155,-0.133449,0.030909,-0.990574,0.693509,-0.510802,-0.508061,0.088427,0.869693,0.065955,0.994635,0.393817,0.935370,0.645106,0.959599,0.278431,0.133333,0.058824
81,0.443768,0.095812,0.334730,0.087971,-0.164594,-0.982431,-0.740745,0.324362,-0.588290,0.765248,0.256412,0.554326,0.855050,0.880618,0.735887,0.514687,0.292631,0.329412,0.050980,0.172549
82,0.534996,0.120112,0.152733,0.350853,-0.341781,-0.871831,0.086151,-0.200227,-0.975955,1.539916,0.006547,0.255459,0.564790,0.188912,0.976446,0.826254,0.006126,0.211765,0.023529,0.027451
83,0.865372,0.474321,0.001672,-0.861534,-0.042005,-0.505959,-0.409232,0.391230,-0.824299,7.720485,0.548565,0.635405,0.463061,0.027949,0.253234,0.618842,0.256213,0.576471,0.364706,0.003922
84,0.873542,0.911279,0.370272,0.633180,-0.505554,-0.586087,0.049619,0.792369,-0.608021,Infinity,0.891196,0.097095,0.616569,0.047189,0.650091,0.754466,0.813094,0.529412,0.333333,0.003922
85,0.295853,0.575184,0.730271,0.093852,0.314402,-0.944639,-0.545508,0.334846,-0.768309,3.491689,0.525834,0.730962,0.753527,0.208131,0.303733,0.964690,0.988787,0.133333,0.423529,0.552941
86,0.309921,0.686614,0.252008,-0.093588,-0.094190,-0.991146,0.543460,0.131388,-0.829089,4.856908,0.783259,0.257663,0.665479,0.031480,0.700333,0.412883,0.698369,0.235294,0.180392,0.156863
87,0.500906,0.633802,0.976665,0.205995,0.183947,-0.961109,-0.041400,0.186700,-0.981544,0.287753,0.640466,0.389324,0.953693,0.151113,0.989860,0.633709,0.168993,0.196078,0.196078,0.317647
88,0.587329,0.214187,0.383083,-0.165849,0.406929,-0.898278,0.468733,0.712065,-0.522736,2.823538,0.530225,0.385552,0.908656,0.804915,0.581560,0.215636,0.083436,0.431373,0.086275,0.266667
89,0.380926,0.971541,0.990347,-0.634283,-0.485713,-0.601471,0.149827,-0.651063,-0.744089,2.463946,0.702717,0.130955,0.369012,0.076537,0.517810,0.694886,0.247910,0.180392,0.239216,0.274510
90,0.412079,0.303532,0.773129,0.045795,-0.507247,-0.860583,-0.005557,0.535259,-0.844670,7.053631,0.187819,0.613910,0.448519,0.099635,0.864492,0.025141,0.943721,0.121569,0.156863,0.384314
91,0.687732,0.078274,0.546857,0.391805,-0.718437,-0.574750,0.835466,-0.202455,-0.510890,2.688537,0.560300,0.795850,0.289627,0.363388,0.205813,0.352322,0.781233,0.333333,0.043137,0.294118
92,0.834790,0.455724,0.587963,-0.446560,-0.731482,-0.515285,0.236035,0.777834,-0.582462,Infinity,0.393623,0.613206,0.381633,0.137671,0.222372,0.363410,0.572071,0.137255,0.078431,0.149020
93,0.146721,0.227153,0.556831,-0.139895,0.082955,-0.986685,0.464470,-0.138284,-0.874726,0.917286,0.829257,0.331404,0.381412,0.677390,0.983736,0.385296,0.959574,0.117647,0.098039,0.423529
94,0.562832,0.927159,0.772453,0.638977,0.304526,-0.706380,-0.038056,0.048193,-0.998113,0.928177,0.269681,0.013535,0.870566,0.569194,0.630850,0.862391,0.345747,0.321569,0.615686,0.435294
95,0.956952,0.645239,0.674055,0.005245,0.070909,-0.997469,-0.519635,0.138276,-0.843125,0.566184,0.848896,0.050525,0.487729,0.288923,0.447016,0.305899,0.768516,0.454902,0.180392,0.325490
96,0.779167,0.357368,0.800026,0.104940,-0.091556,-0.990255,-0.103506,-0.240614,-0.965086,1.736386,0.952937,0.998202,0.049536,0.283612,0.719598,0.324568,0.305627,0.600000,0.258824,0.231373
97,0.858915,0.191765,0.211693,-0.167055,0.181991,-0.969006,0.629947,-0.516216,-0.580248,54.106010,0.124666,0.185144,0.198987,0.363634,0.652566,0.887637,0.133722,0.474510,0.117647,0.086275
98,0.746555,0.556188,0.743446,0.076722,-0.548837,-0.832401,0.251550,0.348206,-0.903037,0.028201,0.824722,0.897391,0.184877,0.053038,0.882876,0.396100,0.517575,0.156863,0.066667,0.105882
99,0.676094,0.404168,0.479408,-0.004570,0.188716,-0.982021,0.413357,0.254876,-0.874171,0.973267,0.461204,0.963849,0.316396,0.026104,0.778245,0.152080,0.207941,0.168628,0.188235,0.058824
100,0.274633,0.834672,0.140364,0.087034,0.548142,-0.831844,0.568072,-0.458633,-0.683338,0.506624,0.834381,0.847978,0.321173,0.007125,0.699096,0.758848,0.807519,0.031373,0.176471,0.007843
