sampleNumber,m_r,m_g,m_b,n_x,n_y,n_z,l_x,l_y,l_z,i_d,d_r,d_g,d_b,i_a,a_r,a_g,a_b,v_r,v_g,v_b
17,0.943669,0.773628,0.087893,0.584135,-0.245482,-0.773644,0.629463,0.338682,-0.699336,1.219797,0.307390,0.937962,0.147539,0.132531,0.547852,0.662103,0.100598,0.549020,0.670588,0.152941
18,0.287367,0.298805,0.244272,0.098458,0.551287,-0.828486,0.692179,-0.036268,-0.720814,1.477670,0.986007,0.935136,0.659022,0.018640,0.377187,0.731063,0.477469,0.392157,0.392157,0.294118
19,0.697886,0.013210,0.996522,0.086439,0.472399,-0.877136,0.761919,0.398159,-0.510831,1.748081,0.868439,0.121512,0.693896,0.024259,0.323827,0.950412,0.774967,0.607843,0.137255,0.654902
20,0.399771,0.949898,0.321572,0.648726,0.060208,-0.758636,-0.290296,-0.774440,-0.562113,9.123922,0.090530,0.194244,0.874656,0.051359,0.897001,0.657929,0.796871,0.301961,0.474510,0.450980
21,0.201205,0.866543,0.836705,-0.522153,-0.593456,-0.612509,0.386614,0.655975,-0.648248,Infinity,0.352313,0.456544,0.104924,0.041569,0.066500,0.916184,0.683561,0.145098,0.423529,0.388235
22,0.342902,0.174416,0.343877,0.476028,-0.151611,-0.866263,-0.285642,0.108689,-0.952153,18.794010,0.620014,0.465009,0.034770,0.360417,0.223724,0.792985,0.533046,0.615686,0.419608,0.388235
23,0.473751,0.905247,0.507848,0.460762,-0.537430,-0.706306,-0.484700,-0.341646,-0.805198,4.087906,0.262871,0.631294,0.482803,0.410744,0.126350,0.597293,0.158468,0.380392,0.768628,0.470588
24,0.255717,0.061830,0.407210,0.368552,-0.560564,-0.741578,-0.101939,-0.297392,-0.949298,1.023508,0.585379,0.688298,0.642739,0.459345,0.477592,0.188773,0.047523,0.372549,0.188235,0.372549
25,0.098653,0.615632,0.677855,-0.665923,0.210134,-0.715815,0.579796,0.243625,-0.777486,0.252285,0.817286,0.826025,0.787241,0.353083,0.933299,0.868102,0.939258,0.262745,0.580392,0.615686
26,0.816996,0.522804,0.233935,0.586595,0.276104,-0.761363,0.277938,-0.469205,-0.838211,1.577302,0.867969,0.170317,0.067164,0.642891,0.551591,0.352376,0.496377,0.768628,0.494118,0.360784
27,0.907156,0.396502,0.254559,-0.086623,-0.086393,-0.992488,-0.550109,0.148569,-0.821771,4.615786,0.296107,0.690320,0.053485,0.053164,0.076028,0.885826,0.221643,0.533333,0.537255,0.180392
28,0.465629,0.557152,0.114487,-0.283407,0.622709,-0.729325,-0.808239,0.124822,-0.575473,1.736772,0.867281,0.548611,0.428399,0.090654,0.697182,0.698217,0.359141,0.517647,0.474510,0.192157
29,0.258386,0.098959,0.308820,-0.127520,0.292787,-0.947636,0.244352,-0.408597,-0.879398,66.944010,0.321491,0.221960,0.074950,0.493482,0.254438,0.241323,0.853254,0.529412,0.301961,0.454902
30,0.444404,0.718252,0.848126,-0.234758,-0.619899,-0.748742,-0.180678,-0.824595,-0.536095,0.191588,0.454781,0.743122,0.870366,0.084003,0.776185,0.350051,0.961430,0.352941,0.423529,0.545098
31,0.807918,0.273595,0.334684,0.013209,-0.106474,-0.994228,-0.056063,-0.854846,-0.515844,2.385023,0.725009,0.037835,0.493240,2.361213,0.165872,0.096005,0.133183,0.768628,0.356863,0.450980
32,0.206904,0.305921,0.357209,0.268206,-0.065337,-0.961143,0.010064,-0.261900,-0.965042,2.188475,0.974582,0.040718,0.754303,0.678437,0.501246,0.263701,0.066817,0.443137,0.356863,0.466667
33,0.013253,0.178963,0.729083,-0.030830,0.002616,-0.999521,0.480749,-0.293347,-0.826334,1.030516,0.407383,0.562872,0.828706,0.093452,0.657643,0.999540,0.874758,0.145098,0.274510,0.600000
34,0.862318,0.166312,0.829498,-0.049455,0.735883,-0.675300,0.470712,0.269628,-0.840078,2.219692,0.702915,0.134242,0.369739,0.085316,0.996549,0.906399,0.997724,0.690196,0.219608,0.560784
35,0.035944,0.520731,0.669877,-0.632790,-0.187056,-0.751390,0.472101,-0.115203,-0.873985,0.975528,0.162285,0.478821,0.796738,0.777633,0.314565,0.472230,0.524214,0.184314,0.552941,0.654902
36,0.633892,0.934497,0.790380,-0.199412,-0.085756,-0.976156,-0.134578,-0.003193,-0.990898,0.197726,0.519029,0.821425,0.354640,0.565298,0.946355,0.684031,0.721916,0.662745,0.760784,0.694118
37,0.846348,0.044443,0.541942,-0.780178,0.266870,-0.565777,0.304948,0.709495,-0.635314,2.014424,0.972205,0.390187,0.556359,0.488165,0.065871,0.433096,0.874844,0.627451,0.200000,0.596079
38,0.833916,0.569521,0.825567,0.550814,-0.120997,-0.825811,0.416699,0.072382,-0.906158,1.877162,0.124661,0.099553,0.627713,0.060297,0.060259,0.602552,0.601506,0.313726,0.345098,0.627451
39,0.739924,0.663653,0.542412,0.127324,0.181055,-0.975196,-0.235320,0.450237,-0.861343,1.508924,0.050005,0.834877,0.329536,0.147393,0.954781,0.602615,0.465495,0.529412,0.623529,0.423529
40,0.024753,0.608872,0.505907,-0.054711,-0.014872,-0.998391,-0.142768,-0.006249,-0.989736,3.977256,0.051179,0.672441,0.018286,0.132274,0.913448,0.524917,0.047954,0.168628,0.662745,0.215686
41,0.070941,0.436749,0.062615,-0.616446,0.459002,-0.639775,0.105061,-0.012768,-0.994384,9.109970,0.553275,0.105085,0.410031,0.321368,0.751925,0.430452,0.695513,0.274510,0.415686,0.231373
42,0.718991,0.322774,0.012025,-0.274565,-0.169147,-0.946575,0.328318,-0.667111,-0.668708,0.011244,0.924303,0.545165,0.532488,0.560215,0.306050,0.124419,0.747321,0.545098,0.290196,0.156863
43,0.966007,0.032717,0.435255,0.239715,-0.683359,-0.689607,0.063122,0.019189,-0.997821,1.683699,0.413242,0.994153,0.378082,0.065478,0.913259,0.034127,0.977780,0.572549,0.180392,0.376471
44,0.209361,0.911632,0.685252,0.475109,-0.030151,-0.879410,-0.773572,-0.150449,-0.615591,20.409300,0.369266,0.001203,0.485293,0.102394,0.548620,0.190583,0.736075,0.301961,0.372549,0.600000
45,0.802005,0.585605,0.578815,-0.448751,-0.143414,-0.882074,0.406331,-0.337324,-0.849181,0.045083,0.372181,0.911611,0.311451,0.019149,0.933779,0.444941,0.408667,0.341177,0.274510,0.231373
46,0.206089,0.026614,0.584031,0.170139,-0.170956,-0.970478,-0.090747,0.223441,-0.970484,3.714109,0.779163,0.949295,0.733371,0.069215,0.496161,0.592153,0.244663,0.403922,0.219608,0.635294
47,0.469189,0.396645,0.386666,-0.760424,-0.221098,-0.610631,0.772680,-0.304371,-0.557068,Infinity,0.475559,0.269345,0.788168,1.062930,0.447090,0.896537,0.387068,0.384314,0.207843,0.607843
48,0.154253,0.291492,0.880142,0.048276,0.012782,-0.998752,-0.051396,-0.548055,-0.834862,1.588782,0.129925,0.064996,0.492232,0.679616,0.867178,0.564802,0.010638,0.349020,0.419608,0.525490
49,0.703935,0.461095,0.431109,-0.455027,0.302212,-0.837627,-0.015453,-0.105722,-0.994276,0.776313,0.788377,0.661194,0.649794,0.016058,0.249066,0.824343,0.494233,0.498039,0.372549,0.352941
50,0.466664,0.449630,0.479756,0.001942,-0.002429,-0.999995,0.000025,0.548449,-0.836184,2.111773,0.857174,0.437040,0.189618,0.709805,0.601834,0.561275,0.750485,0.627451,0.545098,0.572549
51,0.515293,0.820051,0.080188,-0.223396,-0.527614,-0.819584,0.315044,-0.498924,-0.807355,1.789207,0.147633,0.772830,0.823154,0.232057,0.376323,0.727130,0.329169,0.400000,0.717647,0.243137
52,0.915276,0.611014,0.732376,0.598172,-0.406225,-0.690777,-0.520325,0.608693,-0.598962,Infinity,0.531158,0.223188,0.518789,0.008357,0.180439,0.600627,0.664040,0.384314,0.694118,0.227451
53,0.920815,0.258503,0.898510,-0.538539,-0.426106,-0.726918,-0.391076,0.102568,-0.914625,2.978845,0.209150,0.434800,0.694302,0.189988,0.304105,0.403457,0.060685,0.529412,0.345098,0.721569
54,0.152434,0.537863,0.195434,-0.706213,-0.047664,-0.706393,0.342929,-0.082586,-0.935724,0.700728,0.083935,0.378314,0.875777,0.101560,0.976483,0.498213,0.220466,0.219608,0.368628,0.243137
55,0.885171,0.050750,0.744133,0.303733,-0.708908,-0.636550,-0.423913,0.217739,-0.879140,11.097300,0.636268,0.688873,0.739939,0.191208,0.882509,0.130871,0.947426,0.776471,0.215686,0.745098
56,0.279413,0.798478,0.951097,0.019765,0.012479,-0.999727,0.077743,-0.229447,-0.970211,1.382215,0.111132,0.263752,0.683901,0.050386,0.659860,0.413671,0.221782,0.231373,0.419608,0.639216
57,0.015716,0.878994,0.501541,0.063591,-0.064137,-0.995913,-0.003943,-0.014789,-0.999883,1.452934,0.972836,0.827604,0.947762,0.091682,0.982849,0.142834,0.165164,0.172549,0.690196,0.552941
58,0.658673,0.774391,0.085773,-0.003143,-0.488795,-0.872393,0.111874,0.613050,-0.782084,3.443658,0.644480,0.411559,0.312249,0.043475,0.326153,0.885917,0.400473,0.521569,0.494118,0.156863
59,0.182808,0.050842,0.094623,0.135204,-0.545873,-0.826887,0.660450,0.008519,-0.750821,0.126292,0.881262,0.417207,0.344843,2.414415,0.162224,0.915689,0.166293,0.341177,0.321569,0.258824
60,0.719935,0.956978,0.598124,-0.101946,0.773931,-0.625010,0.036236,-0.092246,-0.995077,2.863900,0.571817,0.142253,0.749158,0.284605,0.328000,0.216755,0.699622,0.584314,0.513726,0.615686
61,0.197614,0.279676,0.621553,0.096751,0.115611,-0.988571,0.108519,-0.544593,-0.831651,1.861720,0.605320,0.404149,0.716106,0.356664,0.785985,0.385948,0.823745,0.356863,0.349020,0.643137
62,0.125225,0.834731,0.362348,-0.796323,-0.118151,-0.593220,-0.348365,-0.082995,-0.933677,0.284903,0.554477,0.992667,0.437406,0.516741,0.715991,0.924152,0.506985,0.298039,0.764706,0.431373
63,0.304362,0.616267,0.387490,0.794319,0.022040,-0.607101,0.048019,-0.113631,-0.992362,9.791883,0.531049,0.263079,0.181329,0.194176,0.362357,0.973828,0.346811,0.466667,0.568628,0.364706
64,0.553713,0.078622,0.951377,0.259528,0.156600,-0.952954,0.728504,0.173261,-0.662769,0.281235,0.253329,0.302483,0.814999,0.289897,0.819674,0.962677,0.597720,0.513726,0.219608,0.658824
65,0.303619,0.383461,0.129513,-0.263121,-0.295054,-0.918537,-0.014351,0.007801,-0.999867,0.374757,0.982272,0.727810,0.231982,0.538856,0.255009,0.118514,0.694974,0.384314,0.360784,0.290196
66,0.384933,0.394322,0.211067,0.326937,-0.222318,-0.918524,0.063581,0.033990,-0.997398,0.083839,0.932559,0.238564,0.928474,0.604089,0.033534,0.354999,0.527305,0.282353,0.423529,0.349020
67,0.376968,0.614594,0.471858,0.419181,0.411743,-0.809170,-0.527026,0.090449,-0.845022,0.443924,0.170298,0.206425,0.797989,0.416713,0.126925,0.494260,0.697683,0.294118,0.521569,0.509804
68,0.917745,0.772942,0.032609,-0.410832,-0.278718,-0.868063,-0.023891,-0.088532,-0.995787,0.416536,0.495025,0.150152,0.540498,0.480058,0.492204,0.197304,0.869674,0.678431,0.494118,0.192157
69,0.687112,0.316791,0.046304,-0.510805,-0.060678,-0.857553,-0.017684,-0.058916,-0.998106,0.090380,0.276947,0.765836,0.359925,0.901744,0.138937,0.021620,0.153987,0.494118,0.239216,0.164706
70,0.678919,0.361832,0.997044,-0.284286,0.133323,-0.949424,0.201512,-0.761039,-0.616613,0.044791,0.957855,0.505432,0.154868,0.000181,0.332179,0.424456,0.742085,0.223529,0.145098,0.149020
71,0.775132,0.898360,0.630865,0.275563,0.081567,-0.957816,-0.444329,0.354073,-0.822924,7.724061,0.308558,0.367455,0.458120,0.384008,0.130040,0.388525,0.561779,0.576471,0.713726,0.650980
72,0.483721,0.077454,0.776248,0.428257,-0.420267,-0.799983,-0.014995,-0.266272,-0.963781,2.848005,0.137973,0.310237,0.670955,0.369634,0.086570,0.706412,0.596425,0.325490,0.227451,0.729412
73,0.930975,0.228155,0.873930,-0.099279,0.140714,-0.985060,-0.810069,-0.265841,-0.522605,18.289790,0.480700,0.357136,0.311621,0.010037,0.057521,0.387298,0.840534,0.831373,0.364706,0.658824
74,0.059366,0.301576,0.269543,-0.420788,-0.005278,-0.907144,-0.037697,-0.001525,-0.999288,1.576826,0.604620,0.608480,0.069448,0.012028,0.135827,0.174659,0.727162,0.172549,0.341177,0.168628
75,0.827726,0.876673,0.658136,0.201265,0.383962,-0.901147,-0.667779,0.017163,-0.744162,2.459409,0.446056,0.010870,0.489840,0.001387,0.793344,0.141167,0.731511,0.478431,0.160784,0.439216
76,0.803291,0.344403,0.660070,-0.128880,0.344020,-0.930075,-0.394112,-0.274884,-0.876992,2.892485,0.558749,0.380282,0.176166,0.255784,0.064957,0.862311,0.501013,0.600000,0.431373,0.501961
77,0.002698,0.600501,0.721717,-0.647750,-0.143484,-0.748219,0.174083,0.128946,-0.976252,0.292935,0.524136,0.792977,0.935734,0.027439,0.194844,0.636286,0.682839,0.137255,0.368628,0.435294
78,0.087612,0.892210,0.922024,0.548196,0.426688,-0.719318,0.199532,-0.106237,-0.974115,0.211561,0.509545,0.302867,0.223797,0.039631,0.469714,0.871696,0.160039,0.152941,0.431373,0.305882
79,0.522528,0.570862,0.038332,-0.762492,0.179709,-0.621539,0.106320,0.235955,-0.965930,5.807033,0.127251,0.397307,0.104661,0.444971,0.227203,0.581606,0.034685,0.419608,0.584314,0.141177
80,0.017703,0.237118,0.035814,-0.084108,0.183175,-0.979476,0.187541,0.831360,-0.523134,0.614731,0.805838,0.511875,0.227380,1.508173,0.527697,0.656676,0.056859,0.192157,0.478431,0.152941
81,0.885039,0.572792,0.011247,-0.667548,0.280521,-0.689701,-0.528308,-0.305329,-0.792253,1.244705,0.535661,0.051690,0.788729,0.114102,0.420583,0.752402,0.234320,0.568628,0.411765,0.149020
82,0.085972,0.153635,0.500328,-0.356566,0.103498,-0.928520,0.005556,-0.561117,-0.827718,0.565027,0.076084,0.541771,0.479506,0.019041,0.994040,0.154687,0.311242,0.145098,0.172549,0.298039
83,0.743152,0.230777,0.189885,0.180075,-0.057692,-0.981960,0.794750,-0.019530,-0.606623,0.358391,0.131404,0.929281,0.232962,0.014434,0.974298,0.058294,0.653782,0.309804,0.247059,0.156863
84,0.724327,0.537576,0.033968,0.283795,0.167965,-0.944059,-0.071771,0.595737,-0.799966,2.008700,0.858771,0.874672,0.469040,0.111409,0.426864,0.623436,0.188562,0.670588,0.588235,0.152941
85,0.026094,0.066426,0.204597,-0.090396,-0.551031,-0.829574,0.001795,0.073724,-0.997277,1.549676,0.387490,0.073269,0.941476,1.181281,0.614216,0.979132,0.259396,0.207843,0.298039,0.400000
86,0.757012,0.184067,0.505711,0.427041,0.546652,-0.720283,-0.001414,-0.352313,-0.935881,0.322824,0.529635,0.646977,0.557742,0.805946,0.185392,0.281102,0.066873,0.549020,0.305882,0.364706
87,0.849213,0.922213,0.726371,-0.156820,-0.138945,-0.977805,-0.695761,-0.217552,-0.684535,1.194667,0.825136,0.490561,0.376597,0.285530,0.570302,0.674763,0.514684,0.701961,0.674510,0.552941
88,0.280945,0.296364,0.516753,-0.715853,-0.442531,-0.540113,0.265884,0.231555,-0.935782,6.562790,0.304397,0.042241,0.848143,0.184179,0.046338,0.128889,0.710243,0.239216,0.215686,0.568628
89,0.192411,0.911241,0.791358,0.022607,0.029295,-0.999315,0.054527,-0.568320,-0.820999,2.339249,0.956842,0.521666,0.795009,0.107924,0.445518,0.843185,0.515832,0.384314,0.658824,0.694118
90,0.527396,0.568146,0.388813,0.289800,0.567944,-0.770361,0.000207,0.000797,-1.000000,4.643988,0.488677,0.303542,0.063566,0.814739,0.937946,0.498776,0.466018,0.694118,0.611765,0.482353
91,0.232303,0.065054,0.003145,-0.412749,0.654759,-0.633190,0.600717,-0.260183,-0.755939,81.005480,0.883998,0.074078,0.403981,1.820935,0.754853,0.579573,0.458814,0.584314,0.301961,0.188235
92,0.407210,0.028636,0.756386,0.484971,0.418127,-0.768097,0.089399,0.426637,-0.899994,1.560483,0.399653,0.039586,0.541093,1.106361,0.435411,0.002997,0.371702,0.533333,0.141177,0.721569
93,0.980393,0.782303,0.298909,0.270468,0.122924,-0.954849,-0.579352,0.124319,-0.805541,0.038996,0.079579,0.019077,0.646375,0.021052,0.494626,0.053910,0.383477,0.329412,0.168628,0.172549
94,0.414810,0.112058,0.909415,-0.216940,0.391512,-0.894235,-0.317307,-0.797667,-0.512878,22.383340,0.151817,0.113402,0.282718,0.355089,0.156593,0.825423,0.011511,0.349020,0.262745,0.537255
95,0.777657,0.005676,0.017225,-0.116284,-0.375330,-0.919568,0.397254,-0.037042,-0.916961,1.475469,0.667160,0.278996,0.463976,0.020789,0.911152,0.270356,0.346432,0.564706,0.141177,0.152941
96,0.684652,0.549920,0.196749,0.289334,-0.005492,-0.957213,0.401653,-0.346021,-0.847906,1.685857,0.325092,0.271257,0.186192,0.043190,0.825170,0.905226,0.398683,0.443137,0.384314,0.184314
97,0.857648,0.229148,0.178464,-0.771148,-0.276674,-0.573396,-0.593061,0.330243,-0.734315,0.832959,0.363901,0.207089,0.702580,0.126122,0.636710,0.162058,0.950401,0.529412,0.196078,0.290196
98,0.374793,0.650748,0.793068,0.092774,0.114585,-0.989072,-0.013728,-0.008224,-0.999872,7.458080,0.373756,0.448127,0.195373,0.064116,0.709495,0.328179,0.354308,0.450980,0.631373,0.501961
99,0.648049,0.417215,0.041280,-0.106521,-0.189909,-0.976006,0.714777,0.279508,-0.641069,0.423731,0.839851,0.327388,0.770615,0.380217,0.341256,0.682999,0.523092,0.517647,0.454902,0.172549
100,0.31044
